c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
1,0.423053,0.291638,0.714691,O,0.000008,8,0.000516,516,0.000214,214,0.000004,4,0.000289,289,O,0.000044,44,0.000565,565,0.000025,25
2,0.843268,0.583960,1.427228,O,0.000008,8,0.000682,682,0.000337,337,0.000005,5,0.000313,313,O,0.000054,54,0.000672,672,0.000024,24
3,1.393918,0.403615,1.797533,O,0.000008,8,0.000658,658,0.000378,378,0.000003,3,0.000452,452,O,0.000052,52,0.000692,692,0.000024,24
4,1.628818,1.196931,2.825749,O,0.000008,8,0.000661,661,0.000383,383,0.000010,10,0.000477,477,O,0.000064,64,0.000800,800,0.000025,25
5,2.528709,0.669761,3.198470,O,0.000007,7,0.000646,646,0.000443,443,0.000009,9,0.000499,499,O,0.000054,54,0.000764,764,0.000042,42
6,2.762222,0.803155,3.565377,O,0.000007,7,0.000736,736,0.000528,528,0.000010,10,0.000554,554,O,0.000056,56,0.000812,812,0.000024,24
7,3.059854,2.304608,5.364462,O,0.000028,28,0.000756,756,0.000364,364,0.000010,10,0.000534,534,O,0.000056,56,0.001002,1002,0.000034,34
8,3.299167,2.344263,5.643430,O,0.000007,7,0.000712,712,0.000363,363,0.000007,7,0.000484,484,O,0.000052,52,0.000811,811,0.000025,25
9,4.806321,1.246659,6.052980,O,0.000009,9,0.000712,712,0.000393,393,0.000008,8,0.000489,489,O,0.000053,53,0.000864,864,0.000023,23
10,4.963555,1.393169,6.356724,O,0.000008,8,0.000986,986,0.000472,472,0.000010,10,0.000592,592,O,0.000056,56,0.000866,866,0.000025,25
11,5.237731,1.501057,6.738788,O,0.000006,6,0.000755,755,0.000487,487,0.000007,7,0.000503,503,O,0.000051,51,0.000906,906,0.000024,24
12,5.492419,1.680383,7.172802,O,0.000006,6,0.000758,758,0.000442,442,0.000008,8,0.000543,543,O,0.000053,53,0.000906,906,0.000024,24
13,5.745922,4.432513,10.178435,O,0.000008,8,0.000750,750,0.000453,453,0.000007,7,0.000567,567,O,0.000054,54,0.001067,1067,0.000026,26
14,6.027702,4.514024,10.541726,O,0.000008,8,0.000978,978,0.000611,611,0.000010,10,0.000553,553,O,0.000057,57,0.000987,987,0.000026,26
15,6.299407,4.704126,11.003533,O,0.000007,7,0.000790,790,0.000542,542,0.000012,12,0.000601,601,O,0.000057,57,0.000984,984,0.000027,27
16,6.521090,4.762591,11.283681,O,0.000007,7,0.000818,818,0.000520,520,0.000010,10,0.000621,621,O,0.000042,42,0.000935,935,0.000025,25
17,9.260252,2.380128,11.640380,O,0.000018,18,0.001072,1072,0.000659,659,0.000011,11,0.000665,665,O,0.000054,54,0.000975,975,0.000025,25
18,9.526837,2.586440,12.113277,O,0.000009,9,0.000893,893,0.000570,570,0.000009,9,0.000639,639,O,0.000052,52,0.001016,1016,0.000036,36
19,9.759029,2.683609,12.442638,O,0.000008,8,0.000779,779,0.000534,534,0.000010,10,0.000617,617,O,0.000043,43,0.000989,989,0.000025,25
20,10.046550,2.761470,12.808020,O,0.000008,8,0.000760,760,0.000469,469,0.000008,8,0.000637,637,O,0.000051,51,0.000947,947,0.000042,42
21,10.446022,2.940423,13.386445,O,0.000007,7,0.000946,946,0.000501,501,0.000004,4,0.000691,691,O,0.000056,56,0.001105,1105,0.000026,26
22,11.092592,3.177132,14.269724,O,0.000008,8,0.001278,1278,0.000771,771,0.000006,6,0.000675,675,O,0.000059,59,0.001019,1019,0.000025,25
23,10.967197,3.319727,14.286924,O,0.000018,18,0.001275,1275,0.000678,678,0.000007,7,0.000785,785,O,0.000062,62,0.001171,1171,0.000027,27
24,11.243808,3.470111,14.713919,O,0.000007,7,0.001102,1102,0.000632,632,0.000007,7,0.000834,834,O,0.000060,60,0.001120,1120,0.000029,29
25,11.484420,8.955155,20.439575,O,0.000007,7,0.001099,1099,0.000576,576,0.000009,9,0.000636,636,O,0.000054,54,0.001029,1029,0.000027,27
26,11.777545,9.148781,20.926326,O,0.000008,8,0.001256,1256,0.000692,692,0.000005,5,0.000749,749,O,0.000072,72,0.001132,1132,0.000026,26
27,12.098464,9.196749,21.295213,O,0.000007,7,0.001052,1052,0.000734,734,0.000006,6,0.000728,728,O,0.000063,63,0.001159,1159,0.000028,28
28,12.425344,9.369646,21.794990,O,0.000007,7,0.000923,923,0.000540,540,0.000004,4,0.000626,626,O,0.000055,55,0.001056,1056,0.000027,27
29,12.658231,9.407253,22.065484,O,0.000007,7,0.000796,796,0.000448,448,0.000005,5,0.000689,689,O,0.000057,57,0.001064,1064,0.000027,27
30,12.831367,9.411300,22.242667,O,0.000008,8,0.001057,1057,0.000457,457,0.000007,7,0.000656,656,O,0.000052,52,0.001085,1085,0.000026,26
31,13.104514,9.469985,22.574499,O,0.000008,8,0.001054,1054,0.000529,529,0.000005,5,0.000643,643,O,0.000053,53,0.001065,1065,0.000041,41
32,13.322570,9.212937,22.535507,O,0.000007,7,0.001045,1045,0.000702,702,0.000006,6,0.000760,760,O,0.000063,63,0.001158,1158,0.000026,26
33,18.221320,4.798873,23.020193,O,0.000008,8,0.000820,820,0.000481,481,0.000005,5,0.000621,621,O,0.000054,54,0.001147,1147,0.000025,25
34,18.330589,4.952967,23.283556,O,0.000008,8,0.000906,906,0.000585,585,0.000004,4,0.000711,711,O,0.000069,69,0.001116,1116,0.000026,26
35,18.618109,5.097649,23.715758,O,0.000007,7,0.000903,903,0.000622,622,0.000008,8,0.000651,651,O,0.000053,53,0.001136,1136,0.000038,38
36,19.192889,5.247184,24.440073,O,0.000007,7,0.000963,963,0.000473,473,0.000004,4,0.000576,576,O,0.000057,57,0.001056,1056,0.000025,25
37,19.304790,5.355209,24.659999,O,0.000018,18,0.001104,1104,0.000627,627,0.000005,5,0.000728,728,O,0.000047,47,0.001125,1125,0.000026,26
38,19.690212,5.612803,25.303015,O,0.000018,18,0.001245,1245,0.000775,775,0.000006,6,0.000713,713,O,0.000050,50,0.001113,1113,0.000026,26
39,19.683020,5.731895,25.414915,O,0.000008,8,0.000992,992,0.000619,619,0.000004,4,0.000694,694,O,0.000058,58,0.001217,1217,0.000025,25
40,20.234410,5.905908,26.140318,O,0.000007,7,0.000924,924,0.000585,585,0.000008,8,0.000699,699,O,0.000054,54,0.001214,1214,0.000025,25
41,20.410054,6.032202,26.442256,O,0.000008,8,0.000836,836,0.000524,524,0.000005,5,0.000640,640,O,0.000055,55,0.001122,1122,0.000025,25
42,20.751742,6.165782,26.917524,O,0.000008,8,0.001082,1082,0.000544,544,0.000005,5,0.000671,671,O,0.000053,53,0.001184,1184,0.000054,54
43,20.875085,6.324758,27.199843,O,0.000008,8,0.001071,1071,0.000678,678,0.000005,5,0.000707,707,O,0.000067,67,0.001127,1127,0.000026,26
44,21.612438,6.708036,28.320474,O,0.000008,8,0.001013,1013,0.000603,603,0.000006,6,0.000675,675,O,0.000056,56,0.001206,1206,0.000026,26
45,21.409810,6.669227,28.079037,O,0.000008,8,0.001235,1235,0.000757,757,0.000011,11,0.000880,880,O,0.000058,58,0.001229,1229,0.000026,26
46,21.861087,6.779092,28.640179,O,0.000007,7,0.000959,959,0.000647,647,0.000005,5,0.000674,674,O,0.000062,62,0.001253,1253,0.000025,25
47,22.005595,6.929426,28.935021,O,0.000018,18,0.000996,996,0.000524,524,0.000004,4,0.000672,672,O,0.000054,54,0.001229,1229,0.000024,24
48,22.099731,7.069749,29.169480,O,0.000008,8,0.001056,1056,0.000649,649,0.000006,6,0.000757,757,O,0.000057,57,0.001288,1288,0.000027,27
49,22.443492,7.200677,29.644169,O,0.000007,7,0.000998,998,0.000629,629,0.000005,5,0.000678,678,O,0.000054,54,0.001252,1252,0.000025,25
50,22.110430,21.948540,44.058970,O,0.000019,19,0.001345,1345,0.000904,904,0.000008,8,0.001025,1025,O,0.000043,43,0.001763,1763,0.000029,29
