c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
1,0.193616,0.011429,0.205045,O,0.000018,18,0.012445,12445,0.006280,6280,0.024252,24252,0.017809,17809,O,0.000047,47,0.022532,22532,0.000002,2
2,0.378487,0.021509,0.399996,O,0.000027,27,0.023494,23494,0.014720,14720,0.043507,43507,0.217735,217735,O,0.000052,52,0.043269,43269,0.000003,3
3,0.646176,0.040245,0.686421,O,0.000018,18,0.040816,40816,0.021683,21683,0.078313,78313,0.058426,58426,O,0.000053,53,0.070562,70562,0.000003,3
4,0.748920,0.050077,0.798997,O,0.000019,19,0.056890,56890,0.026496,26496,0.105524,105524,0.425656,425656,O,0.000046,46,0.092736,92736,0.000002,2
5,1.226701,0.069236,1.295937,O,0.000017,17,0.068287,68287,0.032269,32269,0.121551,121551,0.098183,98183,O,0.000049,49,0.122748,122748,0.000004,4
6,1.304135,0.084643,1.388778,O,0.000017,17,0.087598,87598,0.039822,39822,0.150452,150452,0.114956,114956,O,0.000051,51,0.144759,144759,0.000003,3
7,1.411015,0.090985,1.502000,O,0.000018,18,0.093006,93006,0.047234,47234,0.185080,185080,0.144902,144902,O,0.000053,53,0.176883,176883,0.000003,3
8,1.514385,0.114075,1.628460,O,0.000019,19,0.106464,106464,0.051230,51230,0.199519,199519,0.865797,865797,O,0.000044,44,0.178097,178097,0.000002,2
9,2.326464,0.118608,2.445072,O,0.000017,17,0.114532,114532,0.062168,62168,0.234042,234042,0.158317,158317,O,0.000052,52,0.212818,212818,0.000003,3
10,2.439667,0.134162,2.573829,O,0.000017,17,0.135116,135116,0.068046,68046,0.250919,250919,0.198905,198905,O,0.000045,45,0.247059,247059,0.000003,3
11,2.509188,0.142055,2.651243,O,0.000017,17,0.147115,147115,0.074185,74185,0.258331,258331,0.209903,209903,O,0.000050,50,0.261162,261162,0.000003,3
12,2.648865,0.165346,2.814211,O,0.000018,18,0.163102,163102,0.073550,73550,0.310270,310270,0.239249,239249,O,0.000050,50,0.277299,277299,0.000003,3
13,2.713909,0.169137,2.883046,O,0.000017,17,0.158422,158422,0.081206,81206,0.322826,322826,0.258838,258838,O,0.000049,49,0.305364,305364,0.000003,3
14,2.818508,0.187710,3.006218,O,0.000017,17,0.190617,190617,0.092409,92409,0.354073,354073,0.252895,252895,O,0.000044,44,0.347643,347643,0.000003,3
15,2.928072,0.191225,3.119297,O,0.000016,16,0.190559,190559,0.098480,98480,0.384532,384532,0.273334,273334,O,0.000052,52,0.360275,360275,0.000003,3
16,3.060876,0.211720,3.272596,O,0.000017,17,0.199205,199205,0.100841,100841,1.791015,1791015,0.296141,296141,O,0.000039,39,0.358031,358031,0.000003,3
17,4.565233,0.242512,4.807745,O,0.000017,17,0.236508,236508,0.112420,112420,0.430687,430687,0.341627,341627,O,0.000041,41,0.407339,407339,0.000003,3
18,4.658666,0.235502,4.894168,O,0.000018,18,0.238687,238687,0.119069,119069,0.464050,464050,0.363459,363459,O,0.000043,43,0.437739,437739,0.000002,2
19,4.768414,0.254462,5.022876,O,0.000017,17,0.260218,260218,0.133442,133442,0.492630,492630,0.389765,389765,O,0.000046,46,0.476139,476139,0.000003,3
20,4.887715,0.248628,5.136343,O,0.000017,17,0.269635,269635,0.138076,138076,0.511726,511726,0.425407,425407,O,0.000040,40,0.487853,487853,0.000003,3
21,4.993278,0.273863,5.267141,O,0.000017,17,0.274286,274286,0.133946,133946,0.539604,539604,0.438914,438914,O,0.000052,52,0.509582,509582,0.000003,3
22,5.085008,0.300511,5.385519,O,0.000016,16,0.301069,301069,0.143243,143243,0.558795,558795,0.439385,439385,O,0.000039,39,0.560790,560790,0.000003,3
23,5.133645,0.318021,5.451666,O,0.000017,17,0.323021,323021,0.153057,153057,0.609744,609744,0.450892,450892,O,0.000043,43,0.571840,571840,0.000003,3
24,5.277819,0.320395,5.598214,O,0.000017,17,0.317563,317563,0.168129,168129,0.626588,626588,0.491512,491512,O,0.000048,48,0.587533,587533,0.000003,3
25,5.431822,0.356609,5.788431,O,0.000019,19,0.340253,340253,0.173676,173676,0.636450,636450,0.508460,508460,O,0.000055,55,0.638461,638461,0.000003,3
26,5.447314,0.352646,5.799960,O,0.000017,17,0.350072,350072,0.177087,177087,0.649789,649789,0.520528,520528,O,0.000052,52,0.632831,632831,0.000003,3
27,5.600431,0.357395,5.957826,O,0.000016,16,0.369450,369450,0.184848,184848,0.685033,685033,0.511368,511368,O,0.000046,46,0.641651,641651,0.000003,3
28,5.747004,0.370616,6.117620,O,0.000018,18,0.364708,364708,0.197459,197459,0.727314,727314,0.541860,541860,O,0.000054,54,0.679384,679384,0.000003,3
29,5.817978,0.398033,6.216011,O,0.000017,17,0.392343,392343,0.187534,187534,0.755413,755413,0.597753,597753,O,0.000050,50,0.707418,707418,0.000003,3
30,5.951014,0.396589,6.347603,O,0.000015,15,0.417423,417423,0.196894,196894,0.776107,776107,0.568914,568914,O,0.000043,43,0.726110,726110,0.000003,3
31,5.975216,0.410398,6.385614,O,0.000017,17,0.430813,430813,0.201227,201227,0.780967,780967,0.626951,626951,O,0.000042,42,0.715216,715216,0.000003,3
32,6.077638,0.402007,6.479645,O,0.000017,17,0.413182,413182,0.211597,211597,3.536408,3536408,0.595963,595963,O,0.000053,53,0.720779,720779,0.000002,2
33,6.135818,3.250075,9.385893,O,0.000017,17,0.439584,439584,0.202591,202591,0.815048,815048,0.615925,615925,O,0.000040,40,0.774891,774891,0.000003,3
34,9.027850,0.467508,9.495358,O,0.000017,17,0.435197,435197,0.225388,225388,0.852682,852682,0.632343,632343,O,0.000048,48,0.795808,795808,0.000004,4
35,9.104269,0.446538,9.550807,O,0.000018,18,0.462171,462171,0.222859,222859,0.872634,872634,0.675700,675700,O,0.000050,50,0.803781,803781,0.000003,3
36,9.312614,0.464176,9.776790,O,0.000017,17,0.450569,450569,0.235195,235195,0.914190,914190,0.704149,704149,O,0.000044,44,0.830911,830911,0.000003,3
37,9.422285,0.490514,9.912799,O,0.000017,17,0.473641,473641,0.241063,241063,0.956601,956601,0.708946,708946,O,0.000050,50,0.846088,846088,0.000052,52
38,9.619659,0.514283,10.133942,O,0.000021,21,0.492942,492942,0.243125,243125,0.964061,964061,0.722671,722671,O,0.000047,47,0.877151,877151,0.000003,3
39,9.713691,0.523387,10.237078,O,0.000017,17,0.506529,506529,0.255166,255166,0.991764,991764,0.768068,768068,O,0.000037,37,0.919301,919301,0.000003,3
40,9.888929,0.515189,10.404118,O,0.000017,17,0.535743,535743,0.258492,258492,1.038011,1038011,0.759091,759091,O,0.000053,53,0.984170,984170,0.000003,3
41,9.880012,0.550833,10.430845,O,0.000016,16,0.521298,521298,0.260395,260395,1.029136,1029136,0.778568,778568,O,0.000051,51,0.955240,955240,0.000003,3
42,9.954386,0.555899,10.510285,O,0.000017,17,0.537681,537681,0.263697,263697,1.053194,1053194,0.787543,787543,O,0.000054,54,0.972886,972886,0.000002,2
43,10.026460,0.570353,10.596813,O,0.000018,18,0.535047,535047,0.259170,259170,1.106512,1106512,0.847686,847686,O,0.000046,46,1.039959,1039959,0.000004,4
44,10.274530,0.606323,10.880853,O,0.000018,18,0.582966,582966,0.291407,291407,1.119004,1119004,0.829375,829375,O,0.000050,50,1.054627,1054627,0.000003,3
