c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
1,0.085475,0.008602,0.094077,O,0.000008,8,0.010213,10213,0.004822,4822,0.023681,23681,0.014433,14433,O,0.000060,60,0.020525,20525,0.000002,2
2,0.174370,0.017747,0.192117,O,0.000007,7,0.020504,20504,0.010569,10569,0.039869,39869,0.029795,29795,O,0.000060,60,0.038644,38644,0.000002,2
3,0.301496,0.029680,0.331176,O,0.000007,7,0.034137,34137,0.015271,15271,0.059598,59598,0.044533,44533,O,0.000062,62,0.065786,65786,0.000002,2
4,0.353140,0.034168,0.387308,O,0.000007,7,0.047432,47432,0.022982,22982,0.087099,87099,0.062815,62815,O,0.000064,64,0.080562,80562,0.000002,2
5,0.564656,0.047348,0.612004,O,0.000008,8,0.060255,60255,0.025415,25415,0.103512,103512,0.081146,81146,O,0.000067,67,0.106206,106206,0.000002,2
6,0.606613,0.065511,0.672124,O,0.000007,7,0.072833,72833,0.032056,32056,0.134330,134330,0.090037,90037,O,0.000067,67,0.127205,127205,0.000002,2
7,0.650141,0.071672,0.721813,O,0.000008,8,0.080162,80162,0.042103,42103,0.159462,159462,0.114004,114004,O,0.000064,64,0.148691,148691,0.000002,2
8,0.683301,0.082465,0.765766,O,0.000007,7,0.094426,94426,0.048176,48176,0.193733,193733,0.143945,143945,O,0.000057,57,0.157993,157993,0.000002,2
9,1.053524,0.093344,1.146868,O,0.000009,9,0.102912,102912,0.049443,49443,0.191767,191767,0.141753,141753,O,0.000061,61,0.177945,177945,0.000001,1
10,1.126410,0.103910,1.230320,O,0.000008,8,0.107856,107856,0.050439,50439,0.200795,200795,0.167646,167646,O,0.000073,73,0.195974,195974,0.000002,2
11,1.170379,0.109411,1.279790,O,0.000008,8,0.124789,124789,0.062612,62612,0.224376,224376,0.175127,175127,O,0.000065,65,0.216055,216055,0.000001,1
12,1.209560,0.115786,1.325346,O,0.000008,8,0.133242,133242,0.070789,70789,0.267947,267947,0.189253,189253,O,0.000063,63,0.258717,258717,0.000002,2
13,1.232594,0.128842,1.361436,O,0.000007,7,0.154336,154336,0.075067,75067,0.293240,293240,0.212801,212801,O,0.000069,69,0.249328,249328,0.000002,2
14,1.282411,0.137682,1.420093,O,0.000008,8,0.161242,161242,0.079419,79419,0.313892,313892,0.241928,241928,O,0.000065,65,0.288733,288733,0.000002,2
15,1.335124,0.159299,1.494423,O,0.000007,7,0.173129,173129,0.089584,89584,0.348697,348697,0.258710,258710,O,0.000071,71,0.289787,289787,0.000002,2
16,1.421142,0.159360,1.580502,O,0.000007,7,0.181245,181245,0.093412,93412,0.391760,391760,0.273241,273241,O,0.000066,66,0.330498,330498,0.000002,2
17,1.423378,0.178219,1.601597,O,0.000008,8,0.201476,201476,0.095305,95305,0.376597,376597,0.299608,299608,O,0.000057,57,0.338228,338228,0.000002,2
18,2.099776,0.180902,2.280678,O,0.000007,7,0.215735,215735,0.099763,99763,0.398176,398176,0.314300,314300,O,0.000048,48,0.370597,370597,0.000003,3
19,2.185676,0.195985,2.381661,O,0.000008,8,0.212832,212832,0.101303,101303,0.422602,422602,0.307158,307158,O,0.000061,61,0.385878,385878,0.000002,2
20,2.238251,0.202796,2.441047,O,0.000007,7,0.214295,214295,0.104601,104601,0.420826,420826,0.310384,310384,O,0.000069,69,0.395693,395693,0.000002,2
21,2.291236,0.209680,2.500916,O,0.000007,7,0.225518,225518,0.115780,115780,0.469904,469904,0.334877,334877,O,0.000060,60,0.424303,424303,0.000002,2
22,2.354619,0.204151,2.558770,O,0.000008,8,0.233801,233801,0.127257,127257,0.469596,469596,0.370202,370202,O,0.000073,73,0.464398,464398,0.000002,2
23,2.379000,0.224410,2.603410,O,0.000007,7,0.238402,238402,0.121139,121139,0.485392,485392,0.391709,391709,O,0.000066,66,0.458958,458958,0.000002,2
24,2.401555,0.233885,2.635440,O,0.000008,8,0.272744,272744,0.139290,139290,0.502504,502504,0.368451,368451,O,0.000071,71,0.490414,490414,0.000002,2
25,2.452905,0.234680,2.687585,O,0.000008,8,0.285932,285932,0.129767,129767,0.513307,513307,0.439003,439003,O,0.000070,70,0.517052,517052,0.000002,2
26,2.472740,0.261413,2.734153,O,0.000008,8,0.288068,288068,0.138129,138129,0.587798,587798,0.424387,424387,O,0.000065,65,0.523349,523349,0.000002,2
27,2.535356,0.279661,2.815017,O,0.000008,8,0.283021,283021,0.142115,142115,0.594828,594828,0.470619,470619,O,0.000069,69,0.534378,534378,0.000002,2
28,2.605637,0.271051,2.876688,O,0.000008,8,0.313756,313756,0.167346,167346,0.622334,622334,0.498192,498192,O,0.000059,59,0.525388,525388,0.000003,3
29,2.635929,0.280959,2.916888,O,0.000007,7,0.312044,312044,0.153138,153138,0.616632,616632,0.501468,501468,O,0.000065,65,0.581216,581216,0.000003,3
30,2.685828,0.302587,2.988415,O,0.000008,8,0.308219,308219,0.153126,153126,0.669722,669722,0.507855,507855,O,0.000055,55,0.611053,611053,0.000002,2
31,2.750809,0.303279,3.054088,O,0.000008,8,0.348612,348612,0.171963,171963,0.693511,693511,0.521220,521220,O,0.000072,72,0.651601,651601,0.000002,2
32,2.818024,0.295018,3.113042,O,0.000008,8,0.359193,359193,0.180801,180801,0.703308,703308,0.555029,555029,O,0.000070,70,0.663038,663038,0.000003,3
33,2.829678,0.338252,3.167930,O,0.000008,8,0.368078,368078,0.180958,180958,0.717646,717646,0.522803,522803,O,0.000063,63,0.659787,659787,0.000002,2
34,2.882869,0.327088,3.209957,O,0.000007,7,0.385231,385231,0.189157,189157,0.766816,766816,0.565996,565996,O,0.000072,72,0.675741,675741,0.000002,2
35,2.937985,0.334408,3.272393,O,0.000007,7,1.852181,1852181,0.177814,177814,0.729641,729641,0.515466,515466,O,0.000064,64,0.623134,623134,0.000002,2
36,4.324570,0.367534,4.692104,O,0.000008,8,0.389902,389902,0.191013,191013,0.781688,781688,0.575694,575694,O,0.000056,56,0.730992,730992,0.000002,2
37,4.370822,0.372180,4.743002,O,0.000008,8,0.418990,418990,0.200519,200519,0.809569,809569,0.615487,615487,O,0.000070,70,0.739667,739667,0.000002,2
38,4.402483,0.399316,4.801799,O,0.000007,7,0.411597,411597,0.213435,213435,0.828453,828453,0.647597,647597,O,0.000070,70,0.763590,763590,0.000002,2
39,4.428422,0.408425,4.836847,O,0.000008,8,0.423151,423151,0.215554,215554,0.827229,827229,0.655145,655145,O,0.000070,70,0.814088,814088,0.000002,2
40,4.504350,0.380691,4.885041,O,0.000008,8,0.455072,455072,0.201114,201114,0.907557,907557,0.628239,628239,O,0.000074,74,0.773327,773327,0.000002,2
41,4.572340,0.407096,4.979436,O,0.000007,7,0.457432,457432,0.210043,210043,0.916704,916704,0.690790,690790,O,0.000069,69,0.829085,829085,0.000002,2
42,4.583565,0.430970,5.014535,O,0.000008,8,0.486851,486851,0.227891,227891,0.944674,944674,0.688104,688104,O,0.000065,65,0.844570,844570,0.000002,2
43,4.676324,0.449982,5.126306,O,0.000008,8,0.460669,460669,0.224743,224743,0.954070,954070,0.721652,721652,O,0.000063,63,0.897196,897196,0.000002,2
44,4.691941,0.452080,5.144021,O,0.000007,7,0.477657,477657,0.246548,246548,1.017097,1017097,0.746862,746862,O,0.000064,64,0.879999,879999,0.000002,2
45,4.715139,0.454644,5.169783,O,0.000008,8,0.507356,507356,0.237779,237779,1.016972,1016972,0.765758,765758,O,0.000069,69,0.915826,915826,0.000002,2
46,4.781006,0.494264,5.275270,O,0.000009,9,0.509670,509670,0.261044,261044,1.012198,1012198,0.762434,762434,O,0.000064,64,0.936676,936676,0.000002,2
47,4.822131,0.455456,5.277587,O,0.000007,7,0.522028,522028,0.265403,265403,1.031332,1031332,0.766665,766665,O,0.000069,69,0.954361,954361,0.000002,2
48,4.856161,0.466298,5.322459,O,0.000008,8,0.546412,546412,0.261323,261323,1.043645,1043645,0.802367,802367,O,0.000064,64,1.010691,1010691,0.000002,2
49,4.893407,0.511984,5.405391,O,0.000008,8,0.537804,537804,0.279102,279102,1.137052,1137052,0.811549,811549,O,0.000054,54,1.004733,1004733,0.000003,3
50,4.947392,0.504456,5.451848,O,0.000009,9,0.554281,554281,0.294443,294443,1.128015,1128015,0.837709,837709,O,0.000074,74,0.994642,994642,0.000002,2
