c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22
1,0.396164,0.115145,0.511309,O,0.000008,8,0.000157,157,0.000059,59,0.000004,4,0.000064,64,O,0.000043,43,0.000129,129,0.000001,1
2,0.776908,0.248131,1.025039,O,0.000019,19,0.000210,210,0.000082,82,0.000004,4,0.000099,99,O,0.000053,53,0.000272,272,0.000001,1
3,0.953520,0.372325,1.325845,O,0.000019,19,0.000206,206,0.000078,78,0.000004,4,0.000276,276,O,0.000053,53,0.000180,180,0.000001,1
4,1.619914,0.509679,2.129593,O,0.000018,18,0.000254,254,0.000118,118,0.000004,4,0.000254,254,O,0.000043,43,0.000204,204,0.000001,1
5,1.782564,0.657558,2.440122,O,0.000018,18,0.000221,221,0.000087,87,0.000005,5,0.000265,265,O,0.000044,44,0.000202,202,0.000001,1
6,1.948543,0.806915,2.755458,O,0.000017,17,0.000238,238,0.000109,109,0.000005,5,0.000276,276,O,0.000044,44,0.000222,222,0.000001,1
7,2.019368,2.031900,4.051268,O,0.000018,18,0.000422,422,0.000082,82,0.000004,4,0.000095,95,O,0.000053,53,0.000197,197,0.000001,1
8,3.281624,1.087241,4.368865,O,0.000007,7,0.000246,246,0.000094,94,0.000005,5,0.000113,113,O,0.000034,34,0.000290,290,0.000001,1
9,3.433867,1.225162,4.659029,O,0.000007,7,0.000204,204,0.000086,86,0.000004,4,0.000269,269,O,0.000034,34,0.000157,157,0.000001,1
10,3.510587,1.361412,4.871999,O,0.000018,18,0.000255,255,0.000102,102,0.000004,4,0.000118,118,O,0.000043,43,0.000280,280,0.000001,1
11,3.729207,1.507948,5.237155,O,0.000008,8,0.000474,474,0.000111,111,0.000004,4,0.000121,121,O,0.000043,43,0.000226,226,0.000001,1
12,3.888464,1.623665,5.512129,O,0.000007,7,0.000284,284,0.000100,100,0.000003,3,0.000124,124,O,0.000034,34,0.000207,207,0.000001,1
13,4.065225,1.781965,5.847190,O,0.000007,7,0.000265,265,0.000133,133,0.000005,5,0.000139,139,O,0.000055,55,0.000258,258,0.000001,1
14,4.186938,4.054205,8.241143,O,0.000007,7,0.000297,297,0.000138,138,0.000007,7,0.000128,128,O,0.000036,36,0.000218,218,0.000001,1
